Indicator,Observed Today,Frequency (7d),Frequency (30d),Probability: Today,Confidence: Today,Probability: 7-Day,Confidence: 7-Day,Probability: 14-Day,Confidence: 14-Day,Probability: 30-Day,Confidence: 30-Day
172.240.108.68,1,7.0,30.0,92.32%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
172.98.33.195,1,7.0,30.0,92.32%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
173.44.118.38,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
176.114.0.120,0,0.0,1.0,0.02%,Today: Low confidence,6.98%,7-Day: Low confidence,14.73%,14-Day: Low confidence,50.11%,30-Day: Low confidence
176.56.104.133,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.0%,30-Day: Low confidence
176.58.100.98,0,1.0,2.0,14.77%,Today: Possibly active,78.73%,7-Day: Possibly active,97.77%,14-Day: Possibly active,100.0%,30-Day: Possibly active
176.65.141.113,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
176.65.144.243,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
176.65.148.234,0,2.0,2.0,19.58%,Today: Possibly active,89.87%,7-Day: Highly likely,97.99%,14-Day: Highly likely,100.0%,30-Day: Highly likely
176.65.148.236,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
176.65.148.250,0,3.0,9.0,26.74%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
176.65.149.182,0,6.0,14.0,92.5%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
177.124.51.186,0,0.0,1.0,1.2%,Today: Low confidence,11.06%,7-Day: Low confidence,54.07%,14-Day: Low confidence,73.89%,30-Day: Low confidence
178.20.55.16,0,0.0,0.0,0.02%,Today: Low confidence,0.44%,7-Day: Low confidence,2.17%,14-Day: Low confidence,11.21%,30-Day: Low confidence
179.43.161.218,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
179.43.180.114,0,0.0,3.0,1.23%,Today: Low confidence,26.34%,7-Day: Low confidence,93.51%,14-Day: Low confidence,100.0%,30-Day: Low confidence
18.117.57.162,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
18.141.184.212,0,0.0,1.0,0.99%,Today: Low confidence,10.28%,7-Day: Low confidence,52.02%,14-Day: Low confidence,73.81%,30-Day: Low confidence
18.221.137.47,1,7.0,17.0,96.56%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
18.223.104.85,1,7.0,17.0,96.56%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
18.232.92.147,0,0.0,0.0,0.0%,Today: Low confidence,0.01%,7-Day: Low confidence,0.02%,14-Day: Low confidence,3.7%,30-Day: Low confidence
180.214.238.62,1,4.0,8.0,53.23%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
183.108.86.173,1,4.0,4.0,85.01%,Today: Highly likely,98.17%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
184.95.51.10,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.41%,30-Day: Low confidence
185.100.85.132,0,0.0,5.0,0.91%,Today: Low confidence,34.11%,7-Day: Low confidence,98.02%,14-Day: Low confidence,100.0%,30-Day: Low confidence
185.100.87.139,0,0.0,0.0,0.0%,Today: Low confidence,0.1%,7-Day: Low confidence,0.49%,14-Day: Low confidence,2.74%,30-Day: Low confidence
185.12.59.118,0,1.0,6.0,5.79%,Today: Low confidence,94.27%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
185.129.61.129,0,1.0,2.0,10.08%,Today: Possibly active,82.15%,7-Day: Possibly active,97.79%,14-Day: Possibly active,100.0%,30-Day: Possibly active
185.129.62.63,0,0.0,12.0,0.28%,Today: Low confidence,35.85%,7-Day: Low confidence,62.76%,14-Day: Low confidence,84.83%,30-Day: Low confidence
185.130.156.7,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.0%,30-Day: Low confidence
185.154.147.16,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
185.156.46.141,0,3.0,7.0,40.2%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
185.156.46.144,0,1.0,5.0,6.78%,Today: Low confidence,88.92%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
185.156.46.157,0,0.0,1.0,1.79%,Today: Low confidence,12.99%,7-Day: Low confidence,57.79%,14-Day: Low confidence,74.01%,30-Day: Low confidence
185.169.4.150,1,1.0,1.0,23.47%,Today: Possibly active,59.45%,7-Day: Possibly active,65.99%,14-Day: Possibly active,75.06%,30-Day: Possibly active
185.188.61.196,0,0.0,1.0,0.04%,Today: Low confidence,6.41%,7-Day: Low confidence,11.58%,14-Day: Low confidence,40.92%,30-Day: Low confidence
185.195.19.207,1,4.0,5.0,57.11%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
185.208.158.132,0,0.0,3.0,0.82%,Today: Low confidence,23.84%,7-Day: Low confidence,88.45%,14-Day: Low confidence,100.0%,30-Day: Low confidence
185.213.155.241,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
185.214.220.7,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.0%,30-Day: Low confidence
185.220.100.240,0,0.0,0.0,0.0%,Today: Low confidence,0.09%,7-Day: Low confidence,0.43%,14-Day: Low confidence,3.5%,30-Day: Low confidence
185.220.101.185,0,0.0,10.0,1.32%,Today: Low confidence,46.53%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
