seen_today,last_seen,freq_7,freq_30,avg_gap,burstiness,exp_today,exp_7,exp_14,exp_30,weibull_today,weibull_7,weibull_14,weibull_30,logistic_today,logistic_7,logistic_14,logistic_30,gbt_today,gbt_7,gbt_14,gbt_30
0,7.0,0.0,6.0,7.875,-0.019510041310874457,0.18126924692201818,0.7534030360583935,0.9391899373747821,0.9975212478233336,0.0017953711440148457,0.15083514398747044,0.5574998214606506,0.9915256888313434,0.12314644321071615,0.12314644321071615,0.7822682747642434,0.9944103391413283,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,28.0,0.0,2.0,6.071428571428571,0.12028813769471881,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,3.4406560406319286e-06,0.0003130059061547952,0.0015598534356839888,0.009092831925985756,0.025738464923862826,0.025738464923862826,0.12982687669143766,0.7488498095573735,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,16.0,0.0,2.0,8.0,-0.06958563885880387,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,6.00973108216829e-05,0.005453304188809627,0.026899311239654944,0.14747593099670464,0.06248805567942,0.06248805567942,0.38033471405207,0.9286791721831716,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,1.0,1.0,5.0,9.0,-0.09133325564740634,0.15351827510938587,0.6885967760854023,0.9030280321355949,0.9932620530009145,0.005776980427459666,0.40971702965326184,0.9278269372214861,0.9999997911102909,0.8294847144778336,0.8294847144778336,0.9594114385815004,0.9968339887163937,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,2.0,2.0,4.0,6.928571428571429,-0.21637720843474512,0.12482668095705252,0.6067592791314018,0.8453617354507452,0.9816843611112658,0.0030625726709859746,0.2435216245911922,0.7513377087578382,0.9997092746180921,0.9910726061723356,0.9910726061723356,0.9856508757984761,0.9959812383034753,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,8.0,0.0,1.0,9.307692307692308,-0.03866641277655593,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,0.0003700569265820963,0.03311579350852201,0.15458742815233395,0.6256730213328547,0.09451212994131221,0.09451212994131221,0.5669888401371178,0.9574207684794724,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
1,0.0,3.0,6.0,6.888888888888889,-0.06222834555614594,0.18126924692201818,0.7534030360583935,0.9391899373747821,0.9975212478233336,0.009783554427131413,0.5912116293883054,0.9884466245502869,0.999999999995385,0.999654827054834,0.999654827054834,0.9979145933904402,0.9987926256946565,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,7.0,0.0,2.0,6.2105263157894735,-0.14230272093022164,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,0.0005842042725896501,0.05178160026388712,0.23290008962168418,0.7880542606781467,0.11215026464160255,0.11215026464160255,0.6390137688159684,0.9747989416000487,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,8.0,0.0,4.0,7.75,-0.15851772929401964,0.12482668095705252,0.6067592791314018,0.8453617354507452,0.9816843611112658,0.0007202870430637054,0.0634573760577144,0.27885927026567825,0.852354247258464,0.11692269088124033,0.11692269088124033,0.692271729751836,0.9868953189171001,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,7.0,0.0,5.0,6.611111111111111,-0.22697280976162915,0.15351827510938587,0.6885967760854023,0.9030280321355949,0.9932620530009145,0.0011411712277783481,0.09867631501524554,0.4043245351601914,0.9517501546498618,0.13512039080659405,0.13512039080659405,0.7521115127990212,0.992246514563535,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,36.0,0.0,0.0,7.357142857142857,0.08632150180712637,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,2.4751982374837667e-07,2.2520791725266776e-05,0.00011229654146716062,0.0006569109757429414,0.014393445451608883,0.014393445451608883,0.0392946955585916,0.3479575436565101,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
0,1.0,1.0,3.0,8.8,-0.08732759611711152,0.09516258196404048,0.5034146962085906,0.7534030360583935,0.950212931632136,0.0034965670401611026,0.2729056499992062,0.7959144741720727,0.9999084943952802,0.8145673420442974,0.8145673420442974,0.9429902885124121,0.9931017833909681,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,22.0,0.0,1.0,13.75,-0.30157938535644596,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,7.02159621912557e-06,0.0006386709422364634,0.003180727758393509,0.01846864005293658,0.04885006755146658,0.04885006755146658,0.2037960713836157,0.8214760723514473,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,20.0,0.0,2.0,6.333333333333333,-0.09358762455842798,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,2.1491480199475888e-05,0.0019535518591132783,0.009703670170895462,0.05545992291593704,0.049669004012184936,0.049669004012184936,0.27780053642414515,0.8910546055356536,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,2.0,1.0,2.0,9.923076923076923,0.12111553405752935,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,0.0025610003929563696,0.20809685003414513,0.687592943831612,0.9988948564675532,0.7700650368823448,0.7700650368823448,0.9241915359043464,0.9878573948701846,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,2.0,1.0,5.0,5.6,-0.19996173743905785,0.15351827510938587,0.6885967760854023,0.9030280321355949,0.9932620530009145,0.004220969982482448,0.31945782108473275,0.8532698328037129,0.9999867264570881,0.8315702642980487,0.8315702642980487,0.9548566240278807,0.9965595038819305,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
1,0.0,2.0,5.0,6.6,-0.021478379512495,0.15351827510938587,0.6885967760854023,0.9030280321355949,0.9932620530009145,0.008165603975036073,0.5257460547062309,0.975767132381169,0.9999999996480057,0.9913515292822637,0.9913515292822637,0.9903814266929127,0.9977268519623954,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,7.0,0.0,3.0,7.0,0.03583543375011578,0.09516258196404048,0.5034146962085906,0.7534030360583935,0.950212931632136,0.0008984397242506326,0.07852803052695523,0.33489911492742064,0.9080297659903493,0.10399044655695361,0.10399044655695361,0.677340724143202,0.9819027900368329,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
